"","word","freq"
"kworker/r-btrfs","kworker/r-btrfs",26
"code","code",24
"web","web",18
"bash","bash",12
"isolated","isolated",12
"kworker/r-nvme-","kworker/r-nvme-",8
"content","content",6
"process","process",6
"kworker/r-scsi_","kworker/r-scsi_",6
"dbus-daemon","dbus-daemon",6
"java","java",6
"xdg-desktop-por","xdg-desktop-por",6
"systemd","systemd",4
"gjs","gjs",4
"psimon","psimon",4
"gnome-session-b","gnome-session-b",4
"node","node",4
"evolution-alarm","evolution-alarm",2
"kthreadd","kthreadd",2
"pool_workqueue_release","pool_workqueue_release",2
"kworker/r-rcu_g","kworker/r-rcu_g",2
"gsd-power","gsd-power",2
"kworker/r-rcu_p","kworker/r-rcu_p",2
"kworker/r-slub_","kworker/r-slub_",2
"wpa_supplicant","wpa_supplicant",2
"gsd-print-notif","gsd-print-notif",2
"kworker/r-netns","kworker/r-netns",2
"dockerd","dockerd",2
"gsd-rfkill","gsd-rfkill",2
"gvfsd-dnssd","gvfsd-dnssd",2
"kworker/0:0h-events_highpri","kworker/0:0h-events_highpri",2
"gsd-screensaver","gsd-screensaver",2
"kworker/r-mm_pe","kworker/r-mm_pe",2
"gnome-software","gnome-software",2
"rcu_tasks_kthread","rcu_tasks_kthread",2
"rcu_tasks_rude_kthread","rcu_tasks_rude_kthread",2
"containerd","containerd",2
"gsd-sharing","gsd-sharing",2
"rcu_tasks_trace_kthread","rcu_tasks_trace_kthread",2
"ksoftirqd/0","ksoftirqd/0",2
"containerd-shim","containerd-shim",2
"rcu_preempt","rcu_preempt",2
"gdm","gdm",2
"gsd-smartcard","gsd-smartcard",2
"rcub/0","rcub/0",2
"gvfsd-trash","gvfsd-trash",2
"migration/0","migration/0",2
"gsd-sound","gsd-sound",2
"idle_inject/0","idle_inject/0",2
"gdm-session-wor","gdm-session-wor",2
"cpuhp/0","cpuhp/0",2
"cpuhp/1","cpuhp/1",2
"gsd-usb-protect","gsd-usb-protect",2
"idle_inject/1","idle_inject/1",2
"accounts-daemon","accounts-daemon",2
"migration/1","migration/1",2
"ksoftirqd/1","ksoftirqd/1",2
"kworker/1:0h-events_highpri","kworker/1:0h-events_highpri",2
"gsd-wacom","gsd-wacom",2
"cpuhp/2","cpuhp/2",2
"idle_inject/2","idle_inject/2",2
"gsd-disk-utilit","gsd-disk-utilit",2
"migration/2","migration/2",2
"ksoftirqd/2","ksoftirqd/2",2
"kworker/2:0h-events_highpri","kworker/2:0h-events_highpri",2
"cpuhp/3","cpuhp/3",2
"idle_inject/3","idle_inject/3",2
"migration/3","migration/3",2
"ksoftirqd/3","ksoftirqd/3",2
"kworker/3:0h-events_highpri","kworker/3:0h-events_highpri",2
"kworker/4:1-mm_percpu_wq","kworker/4:1-mm_percpu_wq",2
"cpuhp/4","cpuhp/4",2
"idle_inject/4","idle_inject/4",2
"migration/4","migration/4",2
"ksoftirqd/4","ksoftirqd/4",2
"kworker/4:0h-events_highpri","kworker/4:0h-events_highpri",2
"cpuhp/5","cpuhp/5",2
"idle_inject/5","idle_inject/5",2
"migration/5","migration/5",2
"ksoftirqd/5","ksoftirqd/5",2
"kworker/5:0h-events_highpri","kworker/5:0h-events_highpri",2
"cpuhp/6","cpuhp/6",2
"idle_inject/6","idle_inject/6",2
"migration/6","migration/6",2
"kworker/1:1-mm_percpu_wq","kworker/1:1-mm_percpu_wq",2
"ksoftirqd/6","ksoftirqd/6",2
"kworker/6:0h-kblockd","kworker/6:0h-kblockd",2
"cpuhp/7","cpuhp/7",2
"kworker/1:0-events","kworker/1:0-events",2
"idle_inject/7","idle_inject/7",2
"migration/7","migration/7",2
"ksoftirqd/7","ksoftirqd/7",2
"kworker/7:0h-events_highpri","kworker/7:0h-events_highpri",2
"kdevtmpfs","kdevtmpfs",2
"kworker/r-inet_","kworker/r-inet_",2
"kauditd","kauditd",2
"docker","docker",2
"khungtaskd","khungtaskd",2
"oom_reaper","oom_reaper",2
"kworker/r-write","kworker/r-write",2
"kcompactd0","kcompactd0",2
"ksmd","ksmd",2
"khugepaged","khugepaged",2
"kworker/r-kinte","kworker/r-kinte",2
"kworker/r-kbloc","kworker/r-kbloc",2
"kworker/r-blkcg","kworker/r-blkcg",2
"kworker/r-tpm_d","kworker/r-tpm_d",2
"kworker/r-ata_s","kworker/r-ata_s",2
"kworker/r-edac-","kworker/r-edac-",2
"kworker/r-devfr","kworker/r-devfr",2
"watchdogd","watchdogd",2
"kworker/2:1h-events_highpri","kworker/2:1h-events_highpri",2
"ksgxd","ksgxd",2
"kworker/0:0-events","kworker/0:0-events",2
"kswapd0","kswapd0",2
"gvfs-udisks2-vo","gvfs-udisks2-vo",2
"kworker/r-kthro","kworker/r-kthro",2
"socket","socket",2
"irq/122-aerdrv","irq/122-aerdrv",2
"irq/122-pcie-dpc","irq/122-pcie-dpc",2
"irq/124-aerdrv","irq/124-aerdrv",2
"irq/124-pcie-dpc","irq/124-pcie-dpc",2
"udisksd","udisksd",2
"kworker/r-acpi_","kworker/r-acpi_",2
"hwrng","hwrng",2
"scsi_eh_0","scsi_eh_0",2
