id_registro,valor_registro,data_registro,fk_componente,fk_medida,codigo,tipo_componente
1,41.5,Mon Nov 27 2023 13:05:31 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
7,24,Mon Nov 27 2023 13:05:37 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
13,37.2,Mon Nov 27 2023 13:05:42 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
19,33.1,Mon Nov 27 2023 13:05:47 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
25,31.7,Mon Nov 27 2023 13:05:52 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
31,34,Mon Nov 27 2023 13:05:57 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
37,36.1,Mon Nov 27 2023 13:06:02 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
43,19.4,Mon Nov 27 2023 13:06:07 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
49,17.2,Mon Nov 27 2023 13:06:12 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
55,18.9,Mon Nov 27 2023 13:06:17 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
61,27.7,Mon Nov 27 2023 13:06:22 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
67,69.2,Mon Nov 27 2023 13:06:27 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
73,16.7,Mon Nov 27 2023 13:06:32 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
79,13.5,Mon Nov 27 2023 13:06:37 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
85,18.8,Mon Nov 27 2023 13:06:42 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
91,11.8,Mon Nov 27 2023 13:06:47 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
97,18.6,Mon Nov 27 2023 13:06:52 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
103,22.1,Mon Nov 27 2023 13:06:57 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
109,58.2,Mon Nov 27 2023 13:07:02 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
115,32.3,Mon Nov 27 2023 13:07:07 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
121,17.7,Mon Nov 27 2023 13:07:12 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
127,13.8,Mon Nov 27 2023 13:07:17 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
133,25.5,Mon Nov 27 2023 13:07:22 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
139,23.1,Mon Nov 27 2023 13:07:27 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
145,27,Mon Nov 27 2023 13:07:32 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
151,20.4,Mon Nov 27 2023 13:07:38 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
157,8.5,Mon Nov 27 2023 13:07:43 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
163,2.7,Mon Nov 27 2023 13:07:48 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
169,4.6,Mon Nov 27 2023 13:07:53 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
175,1.8,Mon Nov 27 2023 13:07:58 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
181,1.8,Mon Nov 27 2023 13:08:03 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
187,1.3,Mon Nov 27 2023 13:08:08 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
193,1.3,Mon Nov 27 2023 13:08:13 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
199,1.3,Mon Nov 27 2023 13:08:18 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
205,3,Mon Nov 27 2023 13:08:23 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
211,1.5,Mon Nov 27 2023 13:08:28 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
217,1.4,Mon Nov 27 2023 13:08:33 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
223,1.4,Mon Nov 27 2023 13:08:38 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
229,1.6,Mon Nov 27 2023 13:08:43 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
235,3.3,Mon Nov 27 2023 13:08:48 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
241,6.3,Mon Nov 27 2023 13:08:53 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
247,2.3,Mon Nov 27 2023 13:08:58 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
253,2.2,Mon Nov 27 2023 13:09:03 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
259,1.5,Mon Nov 27 2023 13:09:08 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
265,1.8,Mon Nov 27 2023 13:09:13 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
271,5.6,Mon Nov 27 2023 13:09:18 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
277,5.8,Mon Nov 27 2023 13:09:23 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
283,2.4,Mon Nov 27 2023 13:09:28 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
289,2.1,Mon Nov 27 2023 13:09:33 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
295,2.3,Mon Nov 27 2023 13:09:38 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
301,2,Mon Nov 27 2023 13:09:44 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
307,2.1,Mon Nov 27 2023 13:09:49 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
313,2.1,Mon Nov 27 2023 13:09:54 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
319,2.4,Mon Nov 27 2023 13:09:59 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
325,2.2,Mon Nov 27 2023 13:10:04 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
331,2,Mon Nov 27 2023 13:10:09 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
337,1.8,Mon Nov 27 2023 13:10:14 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
343,1.6,Mon Nov 27 2023 13:10:19 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
349,2.1,Mon Nov 27 2023 13:10:24 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
355,1.9,Mon Nov 27 2023 13:10:29 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
361,1.8,Mon Nov 27 2023 13:10:34 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
367,1.7,Mon Nov 27 2023 13:10:39 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
373,1.6,Mon Nov 27 2023 13:10:44 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
379,1.9,Mon Nov 27 2023 13:10:49 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
385,1.8,Mon Nov 27 2023 13:10:54 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
391,1.9,Mon Nov 27 2023 13:10:59 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
397,1.8,Mon Nov 27 2023 13:11:04 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
403,1.7,Mon Nov 27 2023 13:11:09 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
409,1.7,Mon Nov 27 2023 13:11:14 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
415,1.6,Mon Nov 27 2023 13:11:19 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
421,2,Mon Nov 27 2023 13:11:24 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
427,1.9,Mon Nov 27 2023 13:11:29 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
433,1.8,Mon Nov 27 2023 13:11:34 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
439,1.7,Mon Nov 27 2023 13:11:39 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
445,2.9,Mon Nov 27 2023 13:11:44 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
451,2.3,Mon Nov 27 2023 13:11:50 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
457,2,Mon Nov 27 2023 13:11:55 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
463,1.6,Mon Nov 27 2023 13:12:00 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
469,1.8,Mon Nov 27 2023 13:12:05 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
475,1.6,Mon Nov 27 2023 13:12:10 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
481,1.8,Mon Nov 27 2023 13:12:15 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
487,2.5,Mon Nov 27 2023 13:12:20 GMT-0300 (Horário Padrão de Brasília),1,1,XPTO-0987,CPU
